Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TMO,Thermo Fisher Scientific Inc,270.92,108500,1900,Capital Goods,Industrial Machinery Components,https://www.nasdaq.com/symbol/tmo
IDXX,IDEXX Laboratories Inc.,277.13,23860,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/idxx
ILMN,Illumina Inc.,282.28,41500,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/ilmn
NFLX,Netflix Inc.,294.98,129150,2002,Consumer Services,Consumer Electronics-Video Chains,https://www.nasdaq.com/symbol/nflx
UHAL,Amerco,340.21,6670,1900,Consumer Services,Rental-Leasing Companies,https://www.nasdaq.com/symbol/uhal
BA,Boeing Company (The),359.04,202040,1900,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/ba
LMT,Lockheed Martin Corporation,380.32,107400,1900,Capital Goods,Military-Government-Technical,https://www.nasdaq.com/symbol/lmt
ISRG,Intuitive Surgical Inc.,491.09,56600,2000,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/isrg
GOOGL,Alphabet Inc.,1171.18,812090,1900,Technology,Computer Software: Programming Data Processing,https://www.nasdaq.com/symbol/googl
AMZN,Amazon.com Inc.,1768.87,874980,1997,Consumer Services,Catalog - Specialty Distribution,https://www.nasdaq.com/symbol/amzn
